Country,Continent,Least Developed,Life Expectancy,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita,High GDP per capita
Australia,Oceania,False,82.3,15.83042152,9.03597069,10220.8873,17.23244601,46880.89518,84.0,99.9614791,29.1,4.02,True
Australia,Oceania,False,82.4,15.863288,9.32758904,10071.39898,17.3248246,46248.61646,84.56051491,99.97000567,29.8,3.76,True
Austria,Europe,False,78.12682927,7.929785513,9.20371437,6972.189816,46.51163354,29376.01974,33.73013295,100.0,15.0,6.8532,True
Austria,Europe,False,78.57560976,8.444109161,9.26942921,7076.269483,46.54200194,29702.79753,39.18545018,100.0,15.4,6.59497,True
Austria,Europe,False,78.67804878,8.583317475,9.3947649,7333.231953,46.57237033,31178.69333,36.56,100.000003,15.8,6.58281,True
Austria,Europe,False,78.63170732,9.168343908,9.5472393,7427.656445,46.60273873,32144.24181,42.7,100.000003,16.2,6.69314,True
Austria,Europe,False,79.1804878,9.2756141,9.70939827,7695.080037,46.63310713,33773.82578,54.28,100.000003,16.6,6.68129,True
Austria,Europe,False,79.33170732,9.26611356,9.62702942,7808.157792,46.66347552,35013.71404,58.0,99.99999704,17.0,6.42642,True
Austria,Europe,False,79.8804878,8.961569195,9.5311327,7977.681597,46.69384392,37662.18517,63.6,100.0000029,17.5,6.41038,True
Austria,Europe,False,80.1804878,8.587801761,9.53209686,8244.401952,46.72421231,39430.60917,69.37,99.99999706,17.9,6.39019,True
Austria,Europe,False,80.43170732,8.49967402,9.72564602,8207.474739,46.75458071,41316.22518,72.87,100.0,18.3,6.36804,True
Austria,Europe,False,80.33170732,7.721143982,10.22582531,8233.014833,46.7849491,40918.13212,73.45,100.0,18.7,6.11278,True
Austria,Europe,False,80.5804878,8.365014901,10.22101879,7944.796096,46.8153175,42009.43853,75.17,100.0000029,19.2,6.1,True
Austria,Europe,False,80.98292683,8.135474381,10.02613258,8382.711154,46.85891905,44452.73275,78.7399931,100.0000029,19.6,6.1,True
Austria,Europe,False,80.93658537,7.723614487,10.19915581,8425.167753,46.9025206,46457.34578,80.02999392,100.0000029,20.1,6.3,True
Austria,Europe,False,81.13658537,7.753699576,10.28574944,8548.882199,46.94612215,47922.04912,80.6188,100.0000029,20.5,6.1,True
Austria,Europe,False,81.4902439,7.260404228,10.36809254,8509.61158,46.9897237,48799.71547,80.99582496,100.0000028,21.0,6.2,True
Austria,Europe,False,81.1902439,7.317158873,10.36746693,8355.841952,47.03332525,49865.90394,83.94014193,100.0,21.5,6.1,True
Bahrain,Asia,False,74.44,23.8937121,3.56132603,20638.13743,0.521126761,42133.98012,6.153732546,99.91008053,21.2,0.53845,True
Bahrain,Asia,False,74.635,23.49652355,3.68104196,20014.74549,0.542253521,42071.24668,15.03863425,99.91751872,21.5,0.53557,True
Bahrain,Asia,False,74.822,23.42410876,3.85486555,20130.4566,0.563380282,41899.754,18.05072089,99.92495691,21.7,0.53654,True
Bahrain,Asia,False,74.999,23.03816133,3.98856878,20016.59548,0.576388889,42875.91163,21.55494499,99.9323951,21.9,0.52568,True
Bahrain,Asia,False,75.167,21.60641891,3.47338176,19775.06331,0.589041096,44197.88582,21.45868051,99.93983329,22.1,0.52948,True
Bahrain,Asia,False,75.326,23.26923202,3.17561626,18983.04023,0.601351351,45422.94184,21.30373351,99.94727148,22.5,0.52709,True
Bahrain,Asia,False,75.478,23.46563028,3.06248927,21325.8176,0.621621622,46249.75444,28.24395243,99.95470968,22.9,0.50684,True
Bahrain,Asia,False,75.625,22.20240095,3.30373311,21508.24845,0.633333333,47590.92303,32.91,99.96214787,23.4,0.48679,True
Bahrain,Asia,False,75.77,22.21335064,3.28510404,20592.24422,0.644736842,47893.28238,51.95,99.96958606,23.9,0.46918,True
Bahrain,Asia,False,75.913,20.8594387,4.05684614,18491.08909,0.664473684,46487.14945,53.0,99.97702425,24.5,0.46419,True
Bahrain,Asia,False,76.057,20.92896507,3.84291482,17459.65445,0.682414698,46878.08608,55.0,99.98446244,25.0,0.47,True
Bahrain,Asia,False,76.2,20.35750059,3.57691312,18038.23787,0.698826597,47377.49831,76.9999665,99.99190064,25.6,0.34,True
Bahrain,Asia,False,76.342,20.90093256,4.10642147,17912.56602,0.716883117,50675.62102,88.0,99.99933883,26.2,0.36,True
Bahrain,Asia,False,76.484,21.93867997,4.30853891,17849.25789,0.737662338,51494.41172,90.0000397,100.0,26.8,0.37,True
Bahrain,Asia,False,76.624,22.66343283,4.40681839,18693.12388,0.757457847,51101.97702,90.50313348,100.0,27.4,0.38,True
Bahrain,Asia,False,76.762,22.29101801,4.9869976,19596.9831,0.771208226,45575.78357,93.4783008,100.0,28.1,0.39,True
Bangladesh,Asia,True,65.447,0.169593942,2.07144356,97.16457802,14.75246293,1330.03556,0.071039423,94.73628029,1.1,0.00148,False
Bangladesh,Asia,True,65.956,0.198172464,2.06375051,104.6077366,14.72789045,1402.348408,0.129807974,94.90442754,1.2,0.00147,False
Bangladesh,Asia,True,66.43,0.207053129,2.25972915,115.144505,14.70331797,1452.12448,0.139920289,95.07781496,1.3,0.00109,False
